Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline_Week6,0.1250,0.0156,0.1250,0.0278,0.5000
Tuned_Week7_LR0.001_BS64,0.5061,0.5150,0.5061,0.5027,0.8257
Tuned_Week7_LR0.0001_BS64,0.3939,0.4326,0.3939,0.3718,0.7988
Tuned_Week7_LR0.001_BS128,0.2565,0.4792,0.2565,0.2123,0.7241
Tuned_Week7_LR0.0001_BS128,0.3548,0.4205,0.3548,0.3494,0.7658
Tuned_Week7_LR0.001_BS256,0.1774,0.1657,0.1774,0.1022,0.6582
Tuned_Week7_LR0.0001_BS256,0.3200,0.3993,0.3200,0.2817,0.7631
Tuned_Week7_LR0.0005_BS64,0.4773,0.5064,0.4773,0.4830,0.8193
Tuned_Week7_LR0.0005_BS128,0.3320,0.4258,0.3320,0.3163,0.7717
Tuned_Week7_LR0.0005_BS256,0.4258,0.4917,0.4258,0.4215,0.8017
EfficientNetB0_Week9,0.7060,0.6981,0.7060,0.7002,0.9395
EfficientNetB3_Week9,0.7120,0.7023,0.7120,0.7052,0.9402
